alpha_F,alpha_T,alpha_N,Rwp,sizeF,sizeT,sizeN,concF,concT,concN
0.0,0.0,1.0,33.4074937,0.0,0.0,61.5220863,0.0,0.0,100.0
0.0,0.02,0.98,32.086801,0.0,19.08528,61.5220863,0.0,0.19,99.81
0.0,0.04,0.96,31.0490926,0.0,19.08528,61.5220863,0.0,0.2,99.8
0.0,0.06,0.9400000000000001,30.2776042,0.0,19.08528,61.5220863,0.0,0.197,99.803
0.0,0.08,0.92,29.7522811,0.0,19.08528,61.5220863,0.0,0.212,99.788
0.0,0.1,0.9,29.4752644,0.0,19.08528,61.5220863,0.0,0.231,99.769
0.0,0.12,0.88,29.4201905,0.0,19.08528,61.5220863,0.0,0.244,99.756
0.0,0.14,0.86,29.5977806,0.0,19.08528,61.5220863,0.0,0.065,99.935
0.0,0.16,0.84,29.9250445,0.0,19.08528,61.5220863,0.0,0.118,99.882
0.0,0.18,0.8200000000000001,30.3892644,0.0,19.08528,61.5220863,0.0,0.385,99.615
0.0,0.2,0.8,31.0637667,0.0,19.08528,61.5220863,0.0,0.238,99.762
0.0,0.22,0.78,31.7857173,0.0,19.08528,61.5220863,0.0,0.551,99.449
0.0,0.24,0.76,32.6683163,0.0,19.08528,61.5220863,0.0,0.64,99.36
0.0,0.26,0.74,33.6527796,0.0,19.08528,61.5220863,0.0,0.597,99.403
0.0,0.28,0.72,34.6233288,0.0,19.08528,61.5220863,0.0,1.002,98.998
0.0,0.3,0.7000000000000001,35.6686955,0.0,19.08528,61.5220863,0.0,1.392,98.608
0.0,0.32,0.68,36.7233636,0.0,19.08528,61.5220863,0.0,1.94,98.06
0.0,0.34,0.66,37.764143,0.0,19.08528,61.5220863,0.0,2.732,97.268
0.0,0.36,0.64,38.7522931,0.0,19.08528,61.5220863,0.0,3.808,96.192
0.0,0.38,0.62,39.7109497,0.0,19.08528,61.5220863,0.0,5.171,94.829
0.0,0.4,0.6,40.6110177,0.0,19.08528,61.5220863,0.0,6.818,93.182
0.0,0.42,0.58,41.4617335,0.0,19.08528,61.5220863,0.0,8.719,91.281
0.0,0.44,0.56,42.2427003,0.0,19.08528,61.5220863,0.0,11.006,88.994
0.0,0.46,0.54,42.9111825,0.0,19.08528,61.5220863,0.0,13.675,86.325
0.0,0.48,0.52,43.4860215,0.0,19.08528,61.5220863,0.0,16.665,83.335
0.0,0.5,0.5,43.9529379,0.0,19.08528,61.5220863,0.0,20.074,79.926
0.0,0.52,0.48,44.2655572,0.0,19.08528,61.5220863,0.0,23.791,76.209
0.0,0.54,0.46,44.4121731,0.0,19.08528,61.5220863,0.0,28.117,71.883
0.0,0.56,0.44,44.3672475,0.0,19.08528,61.5220863,0.0,32.801,67.199
0.0,0.58,0.42,44.155401,0.0,19.08528,61.5220863,0.0,37.744,62.256
0.0,0.6,0.4,43.7445352,0.0,19.08528,61.5220863,0.0,42.887,57.113
0.0,0.62,0.38,43.1284211,0.0,19.08528,61.5220863,0.0,48.077,51.923
0.0,0.64,0.36,42.321214,0.0,19.08528,61.5220863,0.0,53.282,46.718
0.0,0.66,0.34,41.3280418,0.0,19.08528,61.5220863,0.0,58.375,41.625
0.0,0.68,0.32,40.1390382,0.0,19.08528,61.5220863,0.0,63.244,36.756
0.0,0.7000000000000001,0.3,38.8069568,0.0,19.08528,61.5220863,0.0,67.825,32.175
0.0,0.72,0.28,37.3333405,0.0,19.08528,61.5220863,0.0,72.118,27.882
0.0,0.74,0.26,35.7521573,0.0,19.08528,61.5220863,0.0,76.06,23.94
0.0,0.76,0.24,34.1061777,0.0,19.08528,61.5220863,0.0,79.643,20.357
0.0,0.78,0.22,32.4048887,0.0,19.08528,61.5220863,0.0,82.878,17.122
0.0,0.8,0.2,30.71234,0.0,19.08528,61.5220863,0.0,85.804,14.196
