alpha_F,alpha_T,alpha_N,Rwp,sizeF,sizeT,sizeN,concF,concT,concN
0.02,0.18,0.8,25.8122745,91.7876657,19.08528,61.5220863,2.3,6.11,91.59
0.02,0.2,0.78,26.1443064,91.7876657,19.08528,61.5220863,2.345,7.403,90.252
0.02,0.22,0.76,26.4945101,91.7876657,19.08528,61.5220863,2.373,8.885,88.743
0.02,0.24,0.74,26.867329,91.7876657,19.08528,61.5220863,2.38,10.51,87.11
0.02,0.26,0.72,27.2582323,91.7876657,19.08528,61.5220863,2.408,12.292,85.3
0.02,0.28,0.7000000000000001,27.6467368,91.7876657,19.08528,61.5220863,2.369,14.27,83.362
0.02,0.3,0.68,28.0248234,91.7876657,19.08528,61.5220863,2.507,16.402,81.091
0.02,0.32,0.66,28.386641,91.7876657,19.08528,61.5220863,2.467,18.759,78.774
0.02,0.34,0.64,28.7411272,91.7876657,19.08528,61.5220863,2.456,21.276,76.268
0.02,0.36,0.62,29.0773498,91.7876657,19.08528,61.5220863,2.435,23.997,73.568
0.02,0.38,0.6,29.3897285,91.7876657,19.08528,61.5220863,2.452,26.88,70.667
0.02,0.4,0.58,29.6534313,91.7876657,19.08528,61.5220863,2.385,29.952,67.664
0.02,0.42,0.56,29.8988777,91.7876657,19.08528,61.5220863,2.323,33.156,64.521
0.02,0.44,0.54,30.0702523,91.7876657,19.08528,61.5220863,2.438,36.364,61.198
0.02,0.46,0.52,30.2172982,91.7876657,19.08528,61.5220863,2.335,39.884,57.781
0.02,0.48,0.5,30.2798402,91.7876657,19.08528,61.5220863,2.216,43.447,54.337
0.02,0.5,0.48,30.286595,91.7876657,19.08528,61.5220863,2.086,47.245,50.669
0.02,0.52,0.46,30.2519547,91.7876657,19.08528,61.5220863,2.093,50.749,47.158
0.02,0.54,0.44,30.1731835,91.7876657,19.08528,61.5220863,1.991,54.398,43.611
0.02,0.56,0.42,30.0579076,91.7876657,19.08528,61.5220863,1.878,57.891,40.231
0.02,0.58,0.4,29.8630187,91.7876657,19.08528,61.5220863,1.839,61.337,36.824
0.02,0.6,0.38,29.5803284,91.7876657,19.08528,61.5220863,1.949,64.6,33.451
0.02,0.62,0.36,29.3007826,91.7876657,19.08528,61.5220863,1.876,67.817,30.308
0.02,0.64,0.34,28.9595685,91.7876657,19.08528,61.5220863,1.889,70.83,27.281
0.02,0.66,0.32,28.5581157,91.7876657,19.08528,61.5220863,1.794,73.757,24.448
0.02,0.68,0.3,28.1165959,91.7876657,19.08528,61.5220863,1.729,76.532,21.739
0.02,0.7000000000000001,0.28,27.6374325,91.7876657,19.08528,61.5220863,1.698,79.026,19.276
0.02,0.72,0.26,27.1738149,91.7876657,19.08528,61.5220863,1.687,81.351,16.962
0.02,0.74,0.24,26.6607376,91.7876657,19.08528,61.5220863,1.582,83.579,14.839
0.02,0.76,0.22,26.1494849,91.7876657,19.08528,61.5220863,1.496,85.606,12.897
0.02,0.78,0.2,25.6451898,91.7876657,19.08528,61.5220863,1.442,87.478,11.079
0.02,0.8,0.18,25.1547532,91.7876657,19.08528,61.5220863,1.323,89.237,9.44
0.02,0.8200000000000001,0.16,24.797098,91.7876657,19.08528,61.5220863,0.808,91.246,7.945
0.02,0.84,0.14,24.4444334,91.7876657,19.08528,61.5220863,0.791,92.619,6.59
0.02,0.86,0.12,24.2200551,91.7876657,19.08528,61.5220863,0.733,93.868,5.399
0.02,0.88,0.1,24.1553285,91.7876657,19.08528,61.5220863,0.676,95.007,4.317
0.02,0.9,0.08,24.3279151,91.7876657,19.08528,61.5220863,0.617,95.976,3.407
0.02,0.92,0.06,24.734227,91.7876657,19.08528,61.5220863,0.582,96.848,2.57
0.02,0.9400000000000001,0.04,25.3604746,91.7876657,19.08528,61.5220863,0.677,97.541,1.782
0.02,0.96,0.02,26.1613419,91.7876657,19.08528,61.5220863,0.678,98.108,1.213
0.02,0.98,0.0,27.1283269,91.7876657,19.08528,0.0,1.055,98.945,0.0
0.04,0.0,0.96,25.1939922,91.7876657,0.0,61.5220863,2.089,0.0,97.911
0.04,0.02,0.9400000000000001,24.9141972,91.7876657,19.08528,61.5220863,2.203,0.0,97.797
0.04,0.04,0.92,24.7430517,91.7876657,19.08528,61.5220863,2.26,0.0,97.739
0.04,0.06,0.9,24.6676469,91.7876657,19.08528,61.5220863,2.318,0.114,97.568
0.04,0.08,0.88,24.6984241,91.7876657,19.08528,61.5220863,2.295,0.488,97.217
0.04,0.1,0.86,24.8239476,91.7876657,19.08528,61.5220863,2.273,0.848,96.878
0.04,0.12,0.84,24.975616,91.7876657,19.08528,61.5220863,2.341,1.848,95.812
0.04,0.14,0.8200000000000001,25.2173053,91.7876657,19.08528,61.5220863,2.406,2.556,95.038
0.04,0.16,0.8,25.2102451,91.7876657,19.08528,61.5220863,2.634,5.157,92.21
0.04,0.18,0.78,25.4854521,91.7876657,19.08528,61.5220863,2.698,6.361,90.94
0.04,0.2,0.76,25.8003366,91.7876657,19.08528,61.5220863,2.757,7.712,89.532
0.04,0.22,0.74,26.1532874,91.7876657,19.08528,61.5220863,2.796,9.231,87.973
0.04,0.24,0.72,26.5193538,91.7876657,19.08528,61.5220863,2.863,10.887,86.251
0.04,0.26,0.7000000000000001,26.8864833,91.7876657,19.08528,61.5220863,2.897,12.742,84.361
0.04,0.28,0.68,27.268186,91.7876657,19.08528,61.5220863,2.945,14.764,82.291
0.04,0.3,0.66,27.6320367,91.7876657,19.08528,61.5220863,2.948,17.001,80.051
0.04,0.32,0.64,27.9984262,91.7876657,19.08528,61.5220863,2.999,19.382,77.619
0.04,0.34,0.62,28.3293403,91.7876657,19.08528,61.5220863,2.964,21.992,75.043
0.04,0.36,0.6,28.6588678,91.7876657,19.08528,61.5220863,2.97,24.787,72.243
0.04,0.38,0.58,28.9581276,91.7876657,19.08528,61.5220863,3.013,27.692,69.295
0.04,0.4,0.56,29.2119754,91.7876657,19.08528,61.5220863,2.985,30.841,66.174
0.04,0.42,0.54,29.4492623,91.7876657,19.08528,61.5220863,2.962,34.136,62.902
0.04,0.44,0.52,29.6400231,91.7876657,19.08528,61.5220863,3.014,37.462,59.524
0.04,0.46,0.5,29.6894021,91.7876657,19.08528,61.5220863,2.836,41.055,56.109
0.04,0.48,0.48,29.7816573,91.7876657,19.08528,61.5220863,2.832,44.6,52.568
0.04,0.5,0.46,29.8089415,91.7876657,19.08528,61.5220863,2.588,48.49,48.922
0.04,0.52,0.44,29.6762168,91.7876657,19.08528,61.5220863,2.513,52.182,45.305
0.04,0.54,0.42,29.5486059,91.7876657,19.08528,61.5220863,2.518,55.77,41.712
0.04,0.56,0.4,29.3778914,91.7876657,19.08528,61.5220863,2.402,59.36,38.238
0.04,0.58,0.38,29.1563995,91.7876657,19.08528,61.5220863,2.306,62.81,34.884
0.04,0.6,0.36,28.8957363,91.7876657,19.08528,61.5220863,2.222,66.16,31.618
0.04,0.62,0.34,28.5396297,91.7876657,19.08528,61.5220863,2.256,69.086,28.658
0.04,0.64,0.32,28.1756448,91.7876657,19.08528,61.5220863,2.132,72.157,25.711
0.04,0.66,0.3,27.7774598,91.7876657,19.08528,61.5220863,2.122,75.029,22.849
0.04,0.68,0.28,27.3265999,91.7876657,19.08528,61.5220863,2.054,77.675,20.271
0.04,0.7000000000000001,0.26,26.8477512,91.7876657,19.08528,61.5220863,1.992,80.155,17.853
